Pitch Type,Avg Speed,Avg Spin,Avg Horizontal Break,Avg Vertical Break
Sinker,89.5,2056,11.7,-19.6
Cutter,87.3,2258,-2.5,-28.3
4-Seam,95.7,2225,-7.3,-17.6
Slider,87.4,2371,0.4,-33.5
Changeup,87.8,1969,-14.7,-27.8
Curveball,84.9,2693,3.2,-43.3
Sinker,94.7,2171,-13.2,-22.6
Changeup,78.9,2091,-1.7,-45.2
Sinker,90.1,2215,11.8,-20.7
Cutter,90.5,2232,2.7,-18
4-Seam,89.9,2326,-2,-17.8
Slider,83.7,2517,7.1,-39.7
Changeup,87.4,1780,-12.5,-32.4
Curveball,70.6,2446,12.4,-68.9
Sinker,90.4,2253,-13.3,-22
Cutter,89.3,2409,5.4,-24
Splitter,80.1,1703,-9.3,-38.3
4-Seam,97.1,2530,-11.4,-10.9
Slider,89.2,2622,4.9,-31.8
Changeup,88.6,1870,-15.3,-22.9
Curveball,82.6,2901,11.7,-55.6
Sinker,97.1,2508,-15.1,-13.8
4-Seam,93,2093,-8,-16.4
Slider,87.3,1838,2.4,-30.1
Curveball,78.3,1927,10.2,-53.6
Sinker,92.6,2030,-13.3,-19.8
Splitter,84.1,1125,-7.5,-35.2
4-Seam,96.9,2388,-5.7,-12.2
Slider,92.5,2454,3,-24.6
Changeup,90.3,1703,-13.6,-28.6
Curveball,84.3,2567,6.2,-40.9
Sinker,96.7,2281,-11.4,-15.3
4-Seam,89.7,2400,-6.4,-21.7
Slider,82.2,2603,3.2,-37.2
Changeup,83.6,1704,-14.9,-31.7
Curveball,74.8,2762,12,-52.4
Sinker,89.3,2264,-14.7,-29.7
4-Seam,93.9,2167,-9.6,-15.7
Slider,87.8,2250,4,-29
Changeup,87.7,1679,-15.5,-32.1
Curveball,81.2,2773,12.9,-49.5
Sinker,93.7,2129,-15.8,-20.2
4-Seam,92.1,2145,-5.2,-15.3
Slider,86.3,2255,2.9,-31.2
Changeup,84.1,1701,-13.3,-28.9
Curveball,75.7,2746,12.2,-64.4
Sinker,91.9,2087,-13.3,-18.7
4-Seam,92.5,2246,-12.4,-20.8
Changeup,86.2,2000,-16.5,-29.8
Curveball,79.9,2258,2.8,-50.5
Sinker,92.3,2162,-17.2,-25.5
Cutter,86.7,2143,-3.6,-28.9
4-Seam,92.5,2650,4.1,-17
Slider,86.4,2737,-5.6,-34.7
Changeup,86.2,2287,17.5,-26.2
Curveball,80.7,2534,-6.9,-54.5
4-Seam,93.7,2303,-5.9,-16.2
Slider,87,2321,3.7,-34
Changeup,87.8,1705,-13.6,-28.5
Curveball,78.3,2588,9.1,-61.4
Sinker,93.4,2227,-13.8,-19.5
4-Seam,90.3,2477,-1.2,-14.6
Slider,86.9,2668,-4.8,-28.8
Changeup,85.2,2210,10.6,-19.9
Curveball,73.5,2463,-3.4,-68
4-Seam,92,2411,-4.7,-17.2
Changeup,86,2109,-12.6,-23.9
Curveball,80.6,2683,9.6,-55.3
Sinker,91.5,2313,-13.9,-24.2
Cutter,89.9,2433,2.1,-23.2
4-Seam,93.7,2295,0,-17.2
Slider,84.9,2510,7.2,-44
Changeup,87.8,1698,-6.8,-29
Sinker,92.8,2100,-10.8,-22.2
4-Seam,91.7,2079,-6,-18.9
Slider,82.4,2522,14.7,-43.3
Changeup,84.6,1336,-4.5,-34.1
Curveball,79.3,2421,15.3,-48.6
Sinker,91,1923,-13,-24.4
4-Seam,91.8,2283,8.8,-17.1
Slider,81.7,2398,-3.6,-42
Changeup,81.8,1646,10.6,-30.5
Curveball,67.8,1989,-3.6,-61.4
Sinker,91.8,2195,14.7,-21.5
4-Seam,94.6,2577,-10.1,-10.7
Slider,87.5,2612,4.1,-30.2
Changeup,86.9,1866,-16.3,-26.5
Curveball,79.4,2821,7.6,-57.4
4-Seam,91.5,2143,-10.1,-17.3
Slider,83.3,2390,6.7,-39.7
Curveball,76.1,2391,9.2,-58.2
Sinker,90.4,1916,-14.8,-25.5
Cutter,87.5,2077,-1.6,-28.4
Splitter,86.8,1589,-12.7,-31.9
4-Seam,91.6,2571,-9.7,-17.5
Slider,84.6,2449,-0.3,-31.4
Curveball,76.3,2498,6.3,-58.7
Sinker,92.2,2480,-16.7,-23
Cutter,88.8,2607,-2.8,-23.6
Splitter,82.3,1451,-8,-30.8
4-Seam,95.6,2356,-9.3,-15.8
Slider,86,2478,4.3,-37
Changeup,89.1,1923,-16.1,-30.5
Curveball,82,2481,5.5,-47.5
Sinker,95.3,2393,-17.2,-22.9
4-Seam,97.8,2197,-6.1,-13.8
Slider,89.1,2178,3.7,-34.3
Changeup,91.1,1689,-15.5,-24.5
Curveball,80.4,2275,11.9,-46.1
Sinker,97.5,2106,-14.2,-19.2
4-Seam,93,2198,8.9,-18.1
Slider,84.7,2197,-5.4,-35.5
Changeup,87.6,2047,17.5,-30.2
Curveball,82.4,2285,-4.1,-46.1
Sinker,92.9,2139,15,-22
Cutter,88.5,2225,-1.1,-27.2
4-Seam,91.4,2016,4.4,-16.8
Changeup,86.5,1287,8.5,-27
Curveball,77,2215,-8.6,-54.5
Sinker,91.3,1977,12.2,-18.8
4-Seam,94.6,2482,-6.1,-15.9
Changeup,86.9,1811,-12.6,-29.6
Curveball,81.2,2352,7.8,-52
Sinker,92.8,2308,-12.9,-24.4
Cutter,89,2583,3.3,-29.6
4-Seam,95.4,2137,-10,-15.2
Slider,84.4,2120,3.5,-35.3
Changeup,84,1610,-11.7,-28.1
Curveball,78.3,2084,3.4,-49
4-Seam,88.1,2208,4.3,-15.8
Changeup,81.2,2171,16.9,-32.1
Curveball,76.3,2346,-8.4,-60.7
Sinker,88.9,2253,11.4,-18.6
Cutter,85.2,2246,0.5,-27.8
4-Seam,94.3,2222,-4.8,-15.8
Slider,84.8,2381,6.4,-33.3
Changeup,86.2,1700,-11.7,-29.5
Curveball,78.2,2501,12.9,-56.5
Sinker,92,2009,-11.5,-23.5
4-Seam,94.1,2528,-3.6,-14.7
Slider,82.4,2725,16.7,-39.9
Changeup,83.8,1322,-5.3,-30.5
Curveball,77.2,2624,11.4,-59.8
Sinker,93.4,2280,-12,-22.4
Cutter,86.9,2652,5.6,-36.6
Splitter,88.6,1438,-6,-28.7
4-Seam,94.5,2412,-9.7,-13.6
Slider,79.6,2736,19,-46.7
Changeup,86,1697,-15.4,-28.3
Curveball,79.1,2549,8.3,-63.6
Sinker,94.8,2353,-15.9,-19.3
Cutter,84.6,2640,5.7,-40.7
4-Seam,93.7,2302,-6.9,-20.7
Slider,86.3,2733,10.8,-39
Changeup,82.7,1680,-15.3,-34.4
Curveball,81.8,2749,14.4,-47.5
Sinker,93.3,2245,-12.1,-27.5
Cutter,89.6,2630,2.3,-33.2
4-Seam,94,2503,-9.9,-14.2
Slider,85.4,2401,4.4,-34.5
Changeup,84.6,1519,-13.9,-34.7
Curveball,77.4,2507,10.1,-52.6
Sinker,93.4,2486,-15.1,-21.5
Cutter,87.9,2451,3.4,-28.2
4-Seam,94.3,2479,-8.5,-14.9
Slider,87.8,2402,-0.9,-26.6
Curveball,80.7,2379,4.7,-48.6
Sinker,94.3,2454,-16.3,-20
Cutter,91.6,2536,-2.3,-19.6
Splitter,86.7,1690,-11,-27.1
4-Seam,94.7,2336,14.8,-17.8
Slider,79.8,2395,-13.1,-47.8
Changeup,86.8,2016,18.5,-31
Sinker,93.6,2205,18.6,-26.1
4-Seam,92.5,2088,-5.5,-13.4
Slider,85.9,2321,3.6,-29.5
Changeup,83.7,1757,-12.5,-28.1
Curveball,75.8,2719,13.8,-61.4
Sinker,92.2,2041,-12.7,-17.5
4-Seam,92.4,2375,-8.9,-16.7
Changeup,86,1987,-13,-27.8
Curveball,78.9,2184,5.6,-52.2
Sinker,91.4,2239,-14.7,-24.2
Cutter,87.1,2423,1.2,-28.5
4-Seam,91,2172,-9.2,-17.3
Changeup,83.5,1647,-14.5,-29.7
Curveball,77.5,2283,7.4,-49.7
Sinker,90.7,2131,-16.5,-25.2
Cutter,82.4,2165,4.5,-38.6
4-Seam,89.8,2386,-5.8,-11.7
Changeup,77.5,2125,-11.8,-27.4
Curveball,77.5,2662,4.5,-60.1
Cutter,86.5,2515,3,-26.4
4-Seam,95.1,2159,-7.4,-11.8
Changeup,87.8,1702,-10.7,-23.6
Curveball,76.5,2234,6.2,-60.2
Sinker,95.1,2128,-14.1,-14.9
Cutter,90.7,2152,1,-21.8
4-Seam,92.2,2042,3.5,-13.9
Changeup,86.1,1329,10.1,-25.9
Curveball,77,2186,-10.8,-49.6
Sinker,92.1,2010,12.1,-16.4
4-Seam,91.9,2257,13.8,-15.8
Changeup,83.1,1727,16.1,-31.8
Curveball,81.1,2394,-5.1,-47.1
Cutter,89.2,2170,3,-19.7
4-Seam,96.3,2091,-10.2,-16.9
Slider,85.2,2190,9,-35.7
Changeup,87.8,1988,-17.1,-35.1
Curveball,80.1,2078,9.5,-42.9
Sinker,94.9,2007,-17.9,-25.8
4-Seam,90.8,2391,-2.1,-16
Slider,83.9,2594,6.2,-36.9
Changeup,87.1,1821,-13.1,-30.2
Curveball,74.3,2593,11.8,-63.4
Sinker,90.7,2340,-12.1,-19.3
4-Seam,94.8,2243,-14.1,-14.2
Slider,82.6,2291,1.5,-38.9
Sinker,90.4,2087,-17.7,-24.3
Splitter,84.9,1605,-15.5,-31.8
4-Seam,95.7,2104,-5.6,-13.5
Slider,89.2,2372,2.5,-27.5
Changeup,87.8,1748,-12.7,-30.6
Curveball,78.5,2548,13.6,-52.2
Sinker,95.9,2034,-14.7,-17.1
4-Seam,95.2,2362,-7.2,-12.5
Slider,89.3,2453,2.3,-28.1
Changeup,87.7,1793,-14.8,-26.8
Curveball,81.5,2549,5.3,-43.9
Sinker,94.7,2294,-15.6,-17.8
4-Seam,95.3,2541,-13.6,-13.5
Slider,88.2,2528,1.3,-29.5
Changeup,87.6,1813,-16.5,-28.6
Curveball,80.4,2803,9,-53.9
Sinker,95.7,2551,-21.6,-18.1
Cutter,92.1,2483,-1.2,-19.3
4-Seam,90.8,2117,15.2,-25.2
Slider,81.5,2211,-1.8,-44.2
Changeup,83.7,1848,14.6,-37.4
Sinker,90.1,2064,14.6,-34.1
4-Seam,91,2124,-8.4,-17.7
Slider,81,2319,3.9,-46.8
Curveball,73.6,2544,14.5,-67.6
Sinker,90.8,2008,-16.4,-24.3
Splitter,80.9,1379,-12.5,-39.8
4-Seam,94.3,2505,-4.4,-13.7
Slider,82.6,2664,16.3,-43.7
Changeup,87.7,1823,-9.9,-27.9
Curveball,73.1,2501,10.7,-67.9
Sinker,93.8,2337,-13.5,-20.3
Cutter,88.7,2639,5.5,-30.7
4-Seam,90.6,2158,7,-18.5
Slider,79.3,2315,-0.1,-44.9
Changeup,80.2,1990,18.2,-32.6
Curveball,76.4,2187,-3.8,-56.5
Sinker,90,2102,15.7,-20
4-Seam,85.7,2229,2.1,-20.8
Changeup,79.5,2278,12.4,-31.8
Curveball,72.1,2491,-13.8,-65.3
Sinker,85.6,2195,10.2,-23.2
4-Seam,91.4,2359,6,-15.1
Changeup,81,1706,12.3,-30.6
Curveball,79.4,2204,-7.2,-62.3
Sinker,89.2,2263,12.6,-19.9
Cutter,86.6,2340,-3.8,-28.9
4-Seam,94.3,1969,-12.7,-18.2
Slider,84.4,2338,-0.8,-42.8
Sinker,93.9,1952,-21,-24.7
Splitter,87.2,1488,-17.6,-31.2
4-Seam,92.3,2098,-10.4,-18.1
Changeup,83.8,1435,-12.8,-35.9
Curveball,77.4,2544,19.2,-54.8
Sinker,91.4,2036,-15.1,-24.2
4-Seam,91.4,2206,7.6,-16.1
Changeup,84.6,1743,13,-30.9
Curveball,75.6,2512,-10.8,-53.2
Sinker,90.3,2015,14,-25.4
Cutter,87.8,2333,-3,-24.9
4-Seam,90.1,2096,-11.1,-17.3
Changeup,81.3,1830,-10.3,-30.8
Curveball,76.7,2924,10.3,-61.6
Sinker,90.2,2086,-15.8,-22.2
Cutter,86.9,2331,-1.9,-21.3
4-Seam,92.2,2485,-7.3,-12.5
Slider,83,2488,4.1,-38.3
Changeup,83.6,1754,-13.8,-28
Curveball,74.5,2241,7.9,-62
Sinker,91.8,2395,-14.7,-16.8
4-Seam,95.4,2171,-9.5,-12.1
Slider,89,2388,4.7,-25.7
Changeup,88.6,1746,-15.2,-27.1
Curveball,82.4,2791,12.9,-47.9
Sinker,95,2125,-16.6,-17.3
4-Seam,90.5,2227,-6.7,-13.2
Slider,83.7,2397,5.4,-33.5
Changeup,83.4,1408,-11.8,-33.7
Curveball,73.5,2513,9.6,-56.4
Sinker,90.3,2251,-17.4,-17.2
4-Seam,92.2,2198,-8.8,-14.6
Slider,85,2492,2.7,-37.6
Changeup,85.1,1764,-16.4,-28.5
Curveball,77.5,2267,8.4,-57
Sinker,92.1,2165,-15.7,-19.5
4-Seam,95.9,2164,-13.4,-14
Slider,88.1,2417,2.6,-32.1
Changeup,88.5,1633,-16.6,-26.2
Curveball,80.4,2667,11.7,-50.2
Sinker,95.6,2096,-17.8,-19.8
